VariationID,bucket,GeneSymbol,codes,has_functional
181510,VUS,RAF1,BS2,False
181526,B/LB,SHOC2,BS1,False
181528,P/LP,SHOC2,PM2_Supporting; PP3; PS2_Verystrong; PS4,False
181547,VUS,SOS1,BS2,False
181766,B/LB,PTPN11,BA1,False
197778,B/LB,SOS1,BS1,False
209088,P/LP,LZTR1,PM2_Supporting; PP3; PS2; PS3_Supporting; PS4_Moderate,True
209089,P/LP,LZTR1,PM2_Supporting; PP3; PS2; PS3_Moderate; PS4_Supporting,True
21342,P/LP,RAF1,PM1; PM2_Supporting; PP3; PS2; PS3_Moderate; PS4,True
222774,VUS,RAF1,PM1; PM2; PP2; PS3,True
222971,P/LP,NRAS,PM2_Supporting; PM6_Strong; PP3; PS3_Supporting; PS4_Moderate,True
228273,P/LP,MAP2K1,PM2; PP2; PS4_Supporting,False
240197,B/LB,SOS1,BP5; BS1,False
279960,VUS,MAP2K2,BP5,False
280033,P/LP,BRAF,PM1; PM2; PP2; PS2_Verystrong; PS3; PS4_Moderate,True
280446,P/LP,MAP2K1,PM2; PM2_Supporting; PM6; PP2; PP3; PS2; PS4_Supporting,False
280939,VUS,PTPN11,PM1; PM2; PP2,False
290125,VUS,SOS1,BS2,False
336021,B/LB,SOS1,BP4; BP5,False
343103,B/LB,RAF1,BS1,False
3541717,VUS,LZTR1,BP4; PM2_Supporting; PM3; PM3_Supporting; PS3_Supporting,True
372656,P/LP,SOS1,PM1_Strong; PM2; PP2; PP3; PS4_Supporting,False
373089,P/LP,LZTR1,PS2; PS2_Verystrong; PS4,False
375946,P/LP,BRAF,PM1; PM2; PP2; PP3; PS2; PS4_Moderate,False
375981,P/LP,MAP2K1,PM1; PM2_Supporting; PM5; PP2; PP3; PS2_Verystrong; PS3_Supporting; PS4_Moderate,True
40335,B/LB,BRAF,BP2_Strong; BS2,False
40346,P/LP,BRAF,PM1; PM2; PM6; PP2; PP3; PS2,False
40347,P/LP,BRAF,PM1; PM2; PP2; PP3; PS2_Verystrong; PS4_Supporting,False
40348,P/LP,BRAF,PM1; PM2; PM6; PP2; PP3; PS1; PS4_Supporting,False
40349,P/LP,BRAF,PM1; PM2; PM6; PP2; PP3; PS4_Supporting,False
40370,P/LP,BRAF,PM2; PM5; PP2; PP3; PS3; PS4_Moderate,True
40380,P/LP,BRAF,PM2; PM6; PP2; PP3,False
40387,P/LP,BRAF,PM1; PM2; PM6_Strong; PP2; PP3; PS3,True
40388,P/LP,BRAF,PM1; PM2; PM6; PP2; PP3; PS2; PS4_Supporting,False
40389,P/LP,BRAF,PM1; PM2; PM6; PP2; PP3; PS3; PS4_Supporting,True
40435,P/LP,HRAS,PM1; PM2_Supporting; PP1; PP3; PS4_Moderate,False
40437,B/LB,HRAS,BA1; BP5,False
40439,VUS,HRAS,BP4,False
40448,B/LB,HRAS,BA1,False
40452,P/LP,KRAS,PM2_Supporting; PM6_Verystrong; PP2; PP3; PS3_Supporting; PS4,True
40454,P/LP,KRAS,PM2_Supporting; PM5; PP2; PP3; PS2_Verystrong; PS3_Supporting; PS4_Moderate,True
40484,P/LP,PTPN11,PM2_Supporting; PP2; PP3; PS2; PS4,False
40485,P/LP,PTPN11,PM2; PP2; PP3; PS2; PS4,False
40498,P/LP,PTPN11,PM1; PM2; PP2; PP3; PS4,False
40504,VUS,PTPN11,BP5; PP2,False
40513,P/LP,PTPN11,PM2; PP2; PP3; PS2_Verystrong; PS3; PS4,True
40520,P/LP,PTPN11,PM1; PM2; PM6_Strong; PP2; PS4_Moderate,False
40522,P/LP,PTPN11,PM1; PP2; PP3; PS2; PS2_Verystrong; PS3_Moderate; PS4,True
40536,B/LB,PTPN11,BA1,False
40541,B/LB,PTPN11,BA1,False
40562,P/LP,PTPN11,PM6_Strong; PP2; PP3; PS3; PS4; PS4_Moderate,True
40563,P/LP,PTPN11,PM2_Supporting; PM6_Strong; PP2; PP3; PS3; PS3_Moderate; PS4,True
40567,P/LP,PTPN11,PM2; PM5_Strong; PM6_Strong; PP2; PP3,False
40570,B/LB,PTPN11,BA1; BP4,False
40583,B/LB,RAF1,BP5; BS4,False
40584,B/LB,RAF1,BP4; BP5; BS1; BS2,False
40585,B/LB,RAF1,BA1; BP4; BP5; BS2_Supporting; BS4,False
40588,B/LB,RAF1,BA1,False
40599,P/LP,RAF1,PM1; PM2_Supporting; PS3_Supporting; PS4_Moderate,True
40600,P/LP,RAF1,PM1; PM2; PM5; PM6; PP2; PP3,False
40601,P/LP,RAF1,PM1; PM2_Supporting; PM5_Strong; PM6_Strong; PP1; PP2; PP3; PS3_Supporting; PS4,True
40607,P/LP,RAF1,PM1; PM2; PM5; PM6; PP2; PP3,False
40611,B/LB,RAF1,BA1,False
40612,B/LB,RAF1,BP4; BP5,False
40613,P/LP,RAF1,PM2; PM6_Strong; PP2; PP3; PS4_Moderate,False
40614,VUS,RAF1,PM2_Supporting; PP3,False
40635,B/LB,SHOC2,BA1; BP4; BP5,False
40640,B/LB,SOS1,BA1,False
40641,B/LB,SOS1,BP4; BP5; BS4,False
40649,P/LP,SOS1,PM2; PM6; PP2; PS2; PS3; PS4_Moderate,True
40651,P/LP,SOS1,PM1; PM2; PM6; PP2; PP3; PS3,True
40660,B/LB,SOS1,BA1,False
40662,P/LP,SOS1,PM1; PM2; PP2; PP3; PS2_Verystrong,False
40664,B/LB,SOS1,BP5; BS1; BS4,False
40678,P/LP,SOS1,PM1; PM2; PP2; PP3; PS2_Verystrong; PS3,True
40681,P/LP,SOS1,PM1_Strong; PP2; PP3; PS4_Moderate,False
40682,P/LP,SOS1,PM1_Strong; PM2; PM6; PP2; PP3; PS4_Moderate,False
40683,P/LP,SOS1,PM1; PM1_Strong; PM2; PP2; PP3; PS2_Verystrong; PS3; PS4,True
40684,P/LP,SOS1,PM1_Strong; PM2; PP2; PP3; PS1; PS2; PS4_Moderate,False
40686,B/LB,SOS1,BS1,False
40692,B/LB,SOS1,BA1,False
40697,B/LB,SOS1,BA1,False
40698,B/LB,SOS1,BS1,False
40702,B/LB,SOS1,BA1,False
40706,P/LP,SOS1,PM1; PM2; PM6; PP2; PP3; PS3,True
40716,B/LB,SOS1,BA1,False
40733,B/LB,SOS1,BP4; BP5; BS1,False
40747,P/LP,MAP2K1,PM1; PM2; PM5; PM6; PP2; PP3,False
40756,B/LB,MAP2K1,BA1; BP5,False
40779,P/LP,MAP2K1,PM2; PM6; PP2; PP3,False
40781,P/LP,MAP2K1,PM2; PM6_Strong; PP2; PP3; PS3,True
40786,VUS,MAP2K2,PP2,False
40813,P/LP,MAP2K2,PM2; PM6_Strong; PP2; PP3; PS4_Supporting,False
40818,VUS,MAP2K2,PM2; PP2; PP3; PS4_Supporting,False
40824,B/LB,MAP2K2,BS1,False
40826,B/LB,MAP2K2,BA1; BP4; BP5,False
40832,B/LB,MAP2K2,BA1,False
40842,VUS,MAP2K2,BP5; PP2,False
40843,B/LB,MAP2K2,BA1,False
417225,B/LB,BRAF,BA1,False
424299,VUS,NRAS,BP4,False
438796,P/LP,KRAS,PM2; PP2; PS2; PS4_Supporting,False
44587,P/LP,MAP2K1,PM2_Supporting; PP2; PP3; PS2_Verystrong; PS4,False
44588,P/LP,MAP2K1,PM2_Supporting; PM6_Verystrong; PP2; PP3; PS4_Moderate,False
44599,B/LB,PTPN11,BP5; BS3,True
44603,P/LP,PTPN11,PM1; PM2; PM6; PP1; PP2; PS4,False
44607,B/LB,PTPN11,BP5; BS1,False
44633,P/LP,RAF1,PM1; PM2; PP2; PS2; PS4_Moderate,False
44829,P/LP,BRAF,PM1; PM2; PM6_Strong; PP2; PP3; PS4_Supporting,False
44830,P/LP,BRAF,PM1; PM2; PM5; PP2; PP3; PS4_Supporting,False
44832,P/LP,BRAF,PM1; PM2; PM6; PP2; PP3; PS4_Supporting,False
44833,B/LB,BRAF,BP4; BS2,False
44834,B/LB,BRAF,BA1,False
448924,B/LB,BRAF,BA1,False
448928,B/LB,RAF1,BS1,False
448930,B/LB,RAF1,BS1,False
448932,B/LB,SHOC2,BS1,False
448933,B/LB,SHOC2,BS1,False
448938,B/LB,SOS1,BS1,False
448942,B/LB,SOS1,BA1,False
448943,B/LB,SOS1,BA1,False
448945,B/LB,SOS1,BS1,False
448950,B/LB,MAP2K2,BS1,False
45304,VUS,HRAS,PP2,False
453054,B/LB,LZTR1,BS1,False
45348,B/LB,SOS1,BP5; BS3,True
45364,B/LB,SOS1,BP5; BS2; PP3,False
45366,VUS,SOS1,PP2,False
45367,B/LB,SOS1,BS1,False
45373,P/LP,SOS1,PM2; PM5; PM6; PP2; PS4_Supporting,False
45374,B/LB,SOS1,BA1,False
46242,VUS,MAP2K2,BP4,False
477669,P/LP,PTPN11,PM2; PM5; PP1; PP2; PP3; PS4_Supporting,False
504514,P/LP,RAF1,PM2; PM5_Strong; PP2; PS2_Verystrong; PS3; PS4_Supporting,True
522164,VUS,LZTR1,BP4,False
543999,VUS,MAP2K2,PP2; PP3,False
55793,P/LP,BRAF,PM1; PM2; PM6; PP2; PP3; PS2; PS3; PS4_Supporting,True
560679,VUS,RIT1,PM1; PM2_Supporting; PP3; PS4_Supporting,False
561347,VUS,SOS1,PP2,False
561350,VUS,NRAS,PM1,False
561681,P/LP,RIT1,PM2_Supporting; PP3; PS2_Verystrong; PS3_Supporting; PS4_Moderate,True
561683,P/LP,LZTR1,PM2_Supporting; PS2_Verystrong; PS4_Supporting,False
561716,P/LP,LZTR1,PM2_Supporting; PS2; PS4_Moderate,False
561935,VUS,SOS1,PM2; PP2,False
569590,VUS,MAP2K2,BP4; PP2,False
575203,P/LP,PTPN11,PM1; PP2; PS4,False
599033,VUS,LZTR1,PM2_Supporting; PM3; PP3; PS3_Supporting,True
626912,P/LP,RRAS2,PM1; PP3; PS2; PS3_Supporting; PS4_Supporting,True
636262,P/LP,SOS1,PM2; PP2; PP3; PS2; PS4_Supporting,False
6821,P/LP,SHOC2,PM2; PP2; PS2_Verystrong; PS3; PS4,True
705680,VUS,LZTR1,BP4,False
8272,P/LP,MAP2K2,PM1; PM2_Supporting; PM5; PM6; PP3; PS3_Supporting; PS4_Moderate,True
8273,P/LP,MAP2K2,PM1; PM2; PP2; PP3; PS2_Verystrong,False
8274,P/LP,MAP2K2,PM1; PM2_Supporting; PM5; PM6_Strong; PP3; PS4,False
8275,P/LP,MAP2K2,PM1; PM2_Supporting; PP1_Strong; PP3; PS3_Supporting; PS4_Supporting,True
830078,VUS,SOS1,PM2_Supporting; PP3; PS3_Supporting; PS4_Supporting,True
830079,VUS,SHOC2,PM2; PP2,False
9447,P/LP,RRAS2,PM1; PM2_Supporting; PP3; PS2_Verystrong; PS3_Moderate; PS4_Supporting,True
968299,B/LB,LZTR1,BP4; BS1,False
977327,VUS,BRAF,PM1; PM2_Supporting; PP3,False
